Year,Date,JulianDate,Treatment,GaugeHt,Temp,tkPZS_ng_L,PZS_ng_L,DKPES_ng_L,Prenumbermalesandfemales ,Postnumbermalesandfemales ,DIFFnumbermalesandfemales 
2019,6/28/2019,19179,Ant_6.21E-12M,1.41,20.6,14.12006811,3.838641048,0.0000639,5,6,1
2019,7/2/2019,19183,Ant_6.21E-12M,1.4,22.5,22.69,3.806230978,0.0000323,13,14,1
2019,7/3/2019,19186,Ant_6.21E-12M,1.39,23.3,24.20899131,3.663613699,0.0000186,40,33,-7
2019,7/6/2019,19187,Ant_6.21E-12M,1.38,22.1,26.67457018,5.745788526,0.000138517,16,23,7
2019,7/7/2019,19190,Ant_6.21E-12M,1.37,21.3,15.01630468,4.940931816,0.0000289,16,19,3
2019,7/12/2019,19193,Ant_6.21E-12M,1.36,21.8,8.600498828,2.623120738,0.0000874,10,11,1
2019,7/17/2019,19198,Ant_6.21E-12M,1.34,24.4,7.450826068,5.366021052,0.000341513,6,8,2
2019,6/27/2019,19178,Control,1.41,23.1,5.691969121,2.808361364,0.0000323,0,4,4
2019,7/1/2019,19182,Control,1.39,21.9,27.5,5.197092235,0.00084282,9,14,5
2019,7/5/2019,19186,Control,1.38,24.7,25.0369717,20.09367618,0.0000302,22,33,11
2019,7/9/2019,19190,Control,1.34,22.6,14.26683776,3.56116425,0.0000605,17,23,6
2019,7/16/2019,19197,Control,1.35,24.3,10.53326771,7.933797701,0.0000604,4,9,5
