Year,Date,JulianDate,GaugeHt,Temp,Treatment,Fish,FishID,Plugged,Cage,Upstream,Downstream,Nest,Mating,tkPZS_ng_L,PZS_ng_L,DKPES_ng_L
2019,6/27/2019,19178,1.41,23.1,Control,1/R,81,n,0,1,0,1,1,5.691969121,2.808361364,3.23E-05
2019,6/27/2019,19178,1.41,23.1,Control,2/R,82,n,0,1,0,1,1,5.691969121,2.808361364,3.23E-05
2019,6/27/2019,19178,1.41,23.1,Control,3/R,83,n,0,1,0,1,1,5.691969121,2.808361364,3.23E-05
2019,6/27/2019,19178,1.41,23.1,Control,4/R,84,n,0,0,1,0,0,5.691969121,2.808361364,3.23E-05
2019,6/27/2019,19178,1.41,23.1,Control,5/R,85,n,0,1,0,1,1,5.691969121,2.808361364,3.23E-05
2019,7/1/2019,19182,1.39,21.9,Control,1/G,86,n,0,1,0,1,1,27.5,5.197092235,0.00084282
2019,7/1/2019,19182,1.39,21.9,Control,2/R,87,n,0,1,0,1,1,27.5,5.197092235,0.00084282
2019,7/1/2019,19182,1.39,21.9,Control,3/Y,88,n,0,1,0,0,0,27.5,5.197092235,0.00084282
2019,7/1/2019,19182,1.39,21.9,Control,4/W,89,n,0,1,0,1,1,27.5,5.197092235,0.00084282
2019,7/5/2019,19186,1.38,24.7,Control,2/G,90,n,0,1,0,1,1,25.0369717,20.09367618,3.02E-05
2019,7/5/2019,19186,1.38,24.7,Control,3/W,91,n,0,1,0,1,1,25.0369717,20.09367618,3.02E-05
2019,7/5/2019,19186,1.38,24.7,Control,4/glow,92,n,0,1,0,1,1,25.0369717,20.09367618,3.02E-05
2019,7/5/2019,19186,1.38,24.7,Control,5/Y,93,n,0,1,0,0,0,25.0369717,20.09367618,3.02E-05
2019,7/9/2019,19190,1.34,22.6,Control,1/G,94,n,0,1,0,1,0,14.26683776,3.56116425,6.05E-05
2019,7/9/2019,19190,1.34,22.6,Control,2/glow,95,n,0,1,0,1,1,14.26683776,3.56116425,6.05E-05
2019,7/9/2019,19190,1.34,22.6,Control,3/W,96,n,0,1,0,1,1,14.26683776,3.56116425,6.05E-05
2019,7/9/2019,19190,1.34,22.6,Control,5/Y,97,n,0,1,0,1,0,14.26683776,3.56116425,6.05E-05
2019,7/16/2019,19197,1.35,24.3,Control,1/Y,98,n,0,1,0,1,1,10.53326771,7.933797701,6.04E-05
2019,7/16/2019,19197,1.35,24.3,Control,2/G,99,n,0,1,0,0,0,10.53326771,7.933797701,6.04E-05
2019,7/16/2019,19197,1.35,24.3,Control,5/W,100,n,0,1,0,1,0,10.53326771,7.933797701,6.04E-05
2019,7/16/2019,19197,1.35,24.3,Control,7/g,101,n,0,1,0,1,0,10.53326771,7.933797701,6.04E-05
2019,6/28/2019,19179,1.41,20.6,Ant_6.21E-12M,1/R,53,n,0,0,1,0,0,14.12006811,3.838641048,6.39E-05
2019,6/28/2019,19179,1.41,20.6,Ant_6.21E-12M,2/R,54,n,0,1,0,1,1,14.12006811,3.838641048,6.39E-05
2019,6/28/2019,19179,1.41,20.6,Ant_6.21E-12M,3/G,55,n,0,1,0,1,0,14.12006811,3.838641048,6.39E-05
2019,6/28/2019,19179,1.41,20.6,Ant_6.21E-12M,4/R,56,n,0,1,0,1,1,14.12006811,3.838641048,6.39E-05
2019,6/28/2019,19179,1.41,20.6,Ant_6.21E-12M,5/G,57,n,0,1,0,1,1,14.12006811,3.838641048,6.39E-05
2019,7/2/2019,19183,1.4,22.5,Ant_6.21E-12M,1/R,58,n,0,1,0,1,1,22.69,3.806230978,3.23E-05
