Date,Temp,Treatment,floy,tag,inside
196,20.15,MeOH_Riverwater,YG,900_2048228000335194,0
196,20.15,MeOH_Riverwater,RW,900_2048228000334352,0
196,20.15,MeOH_Riverwater,PY,900_2048228000334386,0
196,20.15,MeOH_Riverwater,RB,900_2048228000334393,0
196,20.15,MeOH_Riverwater,GG,900_2048228000334532,0
196,20.15,MeOH_Riverwater,PG,900_2048228000334558,0
196,20.15,MeOH_Riverwater,WB,900_2048228000335260,0
196,20.15,MeOH_Riverwater,GW,900_2048228000335477,0
196,20.15,MeOH_Riverwater,WY,900_2048228000422224,0
196,20.15,MeOH_Riverwater,GY,900_2048228000334380,1
196.5,20.55,MeOH_Riverwater,WW,900_2048228000334338,0
196.5,20.55,MeOH_Riverwater,WP,900_2048228000334341,0
196.5,20.55,MeOH_Riverwater,YY,900_2048228000334366,0
196.5,20.55,MeOH_Riverwater,GB,900_2048228000334379,0
196.5,20.55,MeOH_Riverwater,YB,900_2048228000334384,0
196.5,20.55,MeOH_Riverwater,RR,900_2048228000335314,0
196.5,20.55,MeOH_Riverwater,BB,900_2048228000334419,0
196.5,20.55,MeOH_Riverwater,BW,900_2048228000334462,0
196.5,20.55,MeOH_Riverwater,YY,900_2048228000334467,0
196.5,20.55,MeOH_Riverwater,RW,900_2048228000334478,0
196.5,20.55,MeOH_Riverwater,GG,900_2048228000334576,0
196.5,20.55,MeOH_Riverwater,PW,900_2048228000361990,0
196.5,20.55,MeOH_Riverwater,PB,900_2048228000422237,0
196.5,20.55,MeOH_Riverwater,PP,900_2048228000519732,0
196.5,20.55,MeOH_Riverwater,YO,900_2048228000336217,1
197,21.45,MeOH_SMW,GB,900_2048228000334379,0
197,21.45,MeOH_SMW,WB,900_2048228000334398,0
197,21.45,MeOH_SMW,GW,900_2048228000334585,0
197,21.45,MeOH_SMW,WW,900_2048228000335113,0
197,21.45,MeOH_SMW,RB,900_2048228000335298,0
197,21.45,MeOH_SMW,RP,900_2048228000335304,0
197,21.45,MeOH_SMW,GY,900_2048228000422222,0
197,21.45,MeOH_SMW,PB,900_2048228000422228,0
197,21.45,MeOH_SMW,GP,900_2048228000422230,0
197,21.45,MeOH_SMW,RR,900_2048228000422233,0
197,21.45,MeOH_SMW,GG,900_2048228000422236,0
