trial.date,Treatment,left.odor,right.odor,odor,enter.left,enter.right,o.right,e.right,e.odor,,,Date,Treatment,Visit Left,Visit Right,Sythesized Right,Visit Synthesized
189,tkpzs,3kPZS,3kPZS.triSPZS,3kPZS.ant,1,0,1,0,0,,,189,tkpzs,1,0,1,0
189,tkpzs,3kPZS,3kPZS.triSPZS,3kPZS.ant,1,0,1,0,0,,,189,tkpzs,1,0,1,0
189,tkpzs,3kPZS,3kPZS.triSPZS,3kPZS.ant,1,0,1,0,0,,,189,tkpzs,1,0,1,0
189,tkpzs,3kPZS,3kPZS.triSPZS,3kPZS.ant,1,0,1,0,0,,,189,tkpzs,1,0,1,0
189,tkpzs,3kPZS,3kPZS.triSPZS,3kPZS.ant,0,1,1,1,1,,,189,tkpzs,0,1,1,1
189.5,tkpzs,3kPZS.triSPZS,3kPZS,3kPZS.ant,0,1,0,1,0,,,189.5,tkpzs,0,1,0,0
191,tkpzs,3kPZS,3kPZS.triSPZS,3kPZS.ant,1,0,1,0,0,,,191,tkpzs,1,0,1,0
191,tkpzs,3kPZS,3kPZS.triSPZS,3kPZS.ant,0,1,1,1,1,,,191,tkpzs,0,1,1,1
191.5,tkpzs,3kPZS.triSPZS,3kPZS,3kPZS.ant,0,1,0,1,0,,,191.5,tkpzs,0,1,0,0
191.5,tkpzs,3kPZS.triSPZS,3kPZS,3kPZS.ant,0,1,0,1,0,,,191.5,tkpzs,0,1,0,0
191.5,tkpzs,3kPZS.triSPZS,3kPZS,3kPZS.ant,0,1,0,1,0,,,191.5,tkpzs,0,1,0,0
191.5,tkpzs,3kPZS.triSPZS,3kPZS,3kPZS.ant,0,1,0,1,0,,,191.5,tkpzs,0,1,0,0
191.5,tkpzs,3kPZS.triSPZS,3kPZS,3kPZS.ant,0,1,0,1,0,,,191.5,tkpzs,0,1,0,0
191.5,tkpzs,3kPZS.triSPZS,3kPZS,3kPZS.ant,0,1,0,1,0,,,191.5,tkpzs,0,1,0,0
191.5,tkpzs,3kPZS.triSPZS,3kPZS,3kPZS.ant,0,1,0,1,0,,,191.5,tkpzs,0,1,0,0
193,tkpzs,3kPZS.triSPZS,3kPZS,3kPZS.ant,1,0,0,0,1,,,193,tkpzs,1,0,0,1
193,tkpzs,3kPZS.triSPZS,3kPZS,3kPZS.ant,1,0,0,0,1,,,193,tkpzs,1,0,0,1
193,tkpzs,3kPZS.triSPZS,3kPZS,3kPZS.ant,0,1,0,1,0,,,193,tkpzs,0,1,0,0
193,tkpzs,3kPZS.triSPZS,3kPZS,3kPZS.ant,0,1,0,1,0,,,193,tkpzs,0,1,0,0
193,tkpzs,3kPZS.triSPZS,3kPZS,3kPZS.ant,0,1,0,1,0,,,193,tkpzs,0,1,0,0
193,tkpzs,3kPZS.triSPZS,3kPZS,3kPZS.ant,0,1,0,1,0,,,193,tkpzs,0,1,0,0
193,tkpzs,3kPZS.triSPZS,3kPZS,3kPZS.ant,0,1,0,1,0,,,193,tkpzs,0,1,0,0
193,tkpzs,3kPZS.triSPZS,3kPZS,3kPZS.ant,0,1,0,1,0,,,193,tkpzs,0,1,0,0
193.5,tkpzs,3kPZS,3kPZS.triSPZS,3kPZS.ant,1,0,1,0,0,,,193.5,tkpzs,1,0,1,0
193.5,tkpzs,3kPZS,3kPZS.triSPZS,3kPZS.ant,1,0,1,0,0,,,193.5,tkpzs,1,0,1,0
193.5,tkpzs,3kPZS,3kPZS.triSPZS,3kPZS.ant,1,0,1,0,0,,,193.5,tkpzs,1,0,1,0
193.5,tkpzs,3kPZS,3kPZS.triSPZS,3kPZS.ant,0,1,1,1,1,,,193.5,tkpzs,0,1,1,1
193.5,tkpzs,3kPZS,3kPZS.triSPZS,3kPZS.ant,0,1,1,1,1,,,193.5,tkpzs,0,1,1,1
195,tkpzs,3kPZS.triSPZS,3kPZS,3kPZS.ant,1,0,0,0,1,,,195,tkpzs,1,0,0,1
195,tkpzs,3kPZS.triSPZS,3kPZS,3kPZS.ant,1,0,0,0,1,,,195,tkpzs,1,0,0,1
195,tkpzs,3kPZS.triSPZS,3kPZS,3kPZS.ant,0,1,0,1,0,,,195,tkpzs,0,1,0,0
195,tkpzs,3kPZS.triSPZS,3kPZS,3kPZS.ant,0,1,0,1,0,,,195,tkpzs,0,1,0,0
195,tkpzs,3kPZS.triSPZS,3kPZS,3kPZS.ant,0,1,0,1,0,,,195,tkpzs,0,1,0,0
195,tkpzs,3kPZS.triSPZS,3kPZS,3kPZS.ant,0,1,0,1,0,,,195,tkpzs,0,1,0,0
195,tkpzs,3kPZS.triSPZS,3kPZS,3kPZS.ant,0,1,0,1,0,,,195,tkpzs,0,1,0,0
195,tkpzs,3kPZS.triSPZS,3kPZS,3kPZS.ant,0,1,0,1,0,,,195,tkpzs,0,1,0,0
195.5,tkpzs,3kPZS,3kPZS.triSPZS,3kPZS.ant,1,0,1,0,0,,,195.5,tkpzs,1,0,1,0
195.5,tkpzs,3kPZS,3kPZS.triSPZS,3kPZS.ant,1,0,1,0,0,,,195.5,tkpzs,1,0,1,0
195.5,tkpzs,3kPZS,3kPZS.triSPZS,3kPZS.ant,0,1,1,1,1,,,195.5,tkpzs,0,1,1,1
195.5,tkpzs,3kPZS,3kPZS.triSPZS,3kPZS.ant,0,1,1,1,1,,,195.5,tkpzs,0,1,1,1
195.5,tkpzs,3kPZS,3kPZS.triSPZS,3kPZS.ant,0,1,1,1,1,,,195.5,tkpzs,0,1,1,1
196,tkpzs,3kPZS,3kPZS.triSPZS,3kPZS.ant,1,0,1,0,0,,,196,tkpzs,1,0,1,0
196,tkpzs,3kPZS,3kPZS.triSPZS,3kPZS.ant,1,0,1,0,0,,,196,tkpzs,1,0,1,0
196,tkpzs,3kPZS,3kPZS.triSPZS,3kPZS.ant,1,0,1,0,0,,,196,tkpzs,1,0,1,0
196,tkpzs,3kPZS,3kPZS.triSPZS,3kPZS.ant,1,0,1,0,0,,,196,tkpzs,1,0,1,0
196,tkpzs,3kPZS,3kPZS.triSPZS,3kPZS.ant,1,0,1,0,0,,,196,tkpzs,1,0,1,0
196,tkpzs,3kPZS,3kPZS.triSPZS,3kPZS.ant,0,1,1,1,1,,,196,tkpzs,0,1,1,1
196.5,tkpzs,3kPZS.triSPZS,3kPZS,3kPZS.ant,0,1,0,1,0,,,196.5,tkpzs,0,1,0,0
196.5,tkpzs,3kPZS.triSPZS,3kPZS,3kPZS.ant,0,1,0,1,0,,,196.5,tkpzs,0,1,0,0
196.5,tkpzs,3kPZS.triSPZS,3kPZS,3kPZS.ant,0,1,0,1,0,,,196.5,tkpzs,0,1,0,0
196.5,tkpzs,3kPZS.triSPZS,3kPZS,3kPZS.ant,0,1,0,1,0,,,196.5,tkpzs,0,1,0,0
196.5,tkpzs,3kPZS.triSPZS,3kPZS,3kPZS.ant,0,1,0,1,0,,,196.5,tkpzs,0,1,0,0
198,tkpzs,3kPZS.triSPZS,3kPZS,3kPZS.ant,1,0,0,0,1,,,198,tkpzs,1,0,0,1
198,tkpzs,3kPZS.triSPZS,3kPZS,3kPZS.ant,1,0,0,0,1,,,198,tkpzs,1,0,0,1
198,tkpzs,3kPZS.triSPZS,3kPZS,3kPZS.ant,0,1,0,1,0,,,198,tkpzs,0,1,0,0
198,tkpzs,3kPZS.triSPZS,3kPZS,3kPZS.ant,0,1,0,1,0,,,198,tkpzs,0,1,0,0
198.5,tkpzs,3kPZS,3kPZS.triSPZS,3kPZS.ant,1,0,1,0,0,,,198.5,tkpzs,1,0,1,0
198.5,tkpzs,3kPZS,3kPZS.triSPZS,3kPZS.ant,1,0,1,0,0,,,198.5,tkpzs,1,0,1,0
198.5,tkpzs,3kPZS,3kPZS.triSPZS,3kPZS.ant,1,0,1,0,0,,,198.5,tkpzs,1,0,1,0
198.5,tkpzs,3kPZS,3kPZS.triSPZS,3kPZS.ant,0,1,1,1,1,,,198.5,tkpzs,0,1,1,1
198.5,tkpzs,3kPZS,3kPZS.triSPZS,3kPZS.ant,0,1,1,1,1,,,198.5,tkpzs,0,1,1,1
199,tkpzs,3kPZS,3kPZS.triSPZS,3kPZS.ant,1,0,1,0,0,,,199,tkpzs,1,0,1,0
199,tkpzs,3kPZS,3kPZS.triSPZS,3kPZS.ant,1,0,1,0,0,,,199,tkpzs,1,0,1,0
199,tkpzs,3kPZS,3kPZS.triSPZS,3kPZS.ant,1,0,1,0,0,,,199,tkpzs,1,0,1,0
199,tkpzs,3kPZS,3kPZS.triSPZS,3kPZS.ant,1,0,1,0,0,,,199,tkpzs,1,0,1,0
199,tkpzs,3kPZS,3kPZS.triSPZS,3kPZS.ant,0,1,1,1,1,,,199,tkpzs,0,1,1,1
199.5,tkpzs,3kPZS.triSPZS,3kPZS,3kPZS.ant,1,0,0,0,1,,,199.5,tkpzs,1,0,0,1
199.5,tkpzs,3kPZS.triSPZS,3kPZS,3kPZS.ant,1,0,0,0,1,,,199.5,tkpzs,1,0,0,1
199.5,tkpzs,3kPZS.triSPZS,3kPZS,3kPZS.ant,1,0,0,0,1,,,199.5,tkpzs,1,0,0,1
199.5,tkpzs,3kPZS.triSPZS,3kPZS,3kPZS.ant,0,1,0,1,0,,,199.5,tkpzs,0,1,0,0
199.5,tkpzs,3kPZS.triSPZS,3kPZS,3kPZS.ant,0,1,0,1,0,,,199.5,tkpzs,0,1,0,0
199.5,tkpzs,3kPZS.triSPZS,3kPZS,3kPZS.ant,0,1,0,1,0,,,199.5,tkpzs,0,1,0,0
199.5,tkpzs,3kPZS.triSPZS,3kPZS,3kPZS.ant,0,1,0,1,0,,,199.5,tkpzs,0,1,0,0
