trial.date,Treatment,left.odor,right.odor,odor,enter.left,enter.right,o.right,e.right,e.odor,,,Date,Treatment,Visit Left,Visit Right,Sythesized Right,Visit Synthesized
198,tkpzs,3kPZS,3kPZS.triSPZS.PZS,3kPZS.ant,1,0,0,0,1,,,198,tkpzs,1,0,0,1
198.5,tkpzs,3kPZS.triSPZS.PZS,3kPZS,3kPZS.ant,0,1,1,1,1,,,198.5,tkpzs,0,1,1,1
200.5,tkpzs,3kPZS,3kPZS.triSPZS.PZS,3kPZS.ant,1,0,0,0,1,,,200.5,tkpzs,1,0,0,1
200.5,tkpzs,3kPZS,3kPZS.triSPZS.PZS,3kPZS.ant,1,0,0,0,1,,,200.5,tkpzs,1,0,0,1
200.5,tkpzs,3kPZS,3kPZS.triSPZS.PZS,3kPZS.ant,1,0,0,0,1,,,200.5,tkpzs,1,0,0,1
200.5,tkpzs,3kPZS,3kPZS.triSPZS.PZS,3kPZS.ant,1,0,0,0,1,,,200.5,tkpzs,1,0,0,1
202,tkpzs,3kPZS.triSPZS.PZS,3kPZS,3kPZS.ant,0,1,1,1,1,,,202,tkpzs,0,1,1,1
202,tkpzs,3kPZS.triSPZS.PZS,3kPZS,3kPZS.ant,0,1,1,1,1,,,202,tkpzs,0,1,1,1
202,tkpzs,3kPZS.triSPZS.PZS,3kPZS,3kPZS.ant,0,1,1,1,1,,,202,tkpzs,0,1,1,1
203,tkpzs,3kPZS,3kPZS.triSPZS.PZS,3kPZS.ant,1,0,0,0,1,,,203,tkpzs,1,0,0,1
203,tkpzs,3kPZS,3kPZS.triSPZS.PZS,3kPZS.ant,1,0,0,0,1,,,203,tkpzs,1,0,0,1
203,tkpzs,3kPZS,3kPZS.triSPZS.PZS,3kPZS.ant,1,0,0,0,1,,,203,tkpzs,1,0,0,1
205,tkpzs,3kPZS,3kPZS.triSPZS.PZS,3kPZS.ant,1,0,0,0,1,,,205,tkpzs,1,0,0,1
205,tkpzs,3kPZS,3kPZS.triSPZS.PZS,3kPZS.ant,1,0,0,0,1,,,205,tkpzs,1,0,0,1
205.5,tkpzs,3kPZS.triSPZS.PZS,3kPZS,3kPZS.ant,0,1,1,1,1,,,205.5,tkpzs,0,1,1,1
205.5,tkpzs,3kPZS.triSPZS.PZS,3kPZS,3kPZS.ant,0,1,1,1,1,,,205.5,tkpzs,0,1,1,1
209,tkpzs,3kPZS.triSPZS.PZS,3kPZS,3kPZS.ant,0,1,1,1,1,,,209,tkpzs,0,1,1,1
209,tkpzs,3kPZS.triSPZS.PZS,3kPZS,3kPZS.ant,0,1,1,1,1,,,209,tkpzs,0,1,1,1
209,tkpzs,3kPZS.triSPZS.PZS,3kPZS,3kPZS.ant,0,1,1,1,1,,,209,tkpzs,0,1,1,1
210,tkpzs,3kPZS,3kPZS.triSPZS.PZS,3kPZS.ant,1,0,0,0,1,,,210,tkpzs,1,0,0,1
211,tkpzs,3kPZS.triSPZS.PZS,3kPZS,3kPZS.ant,0,1,1,1,1,,,211,tkpzs,0,1,1,1
211,tkpzs,3kPZS.triSPZS.PZS,3kPZS,3kPZS.ant,0,1,1,1,1,,,211,tkpzs,0,1,1,1
211,tkpzs,3kPZS.triSPZS.PZS,3kPZS,3kPZS.ant,0,1,1,1,1,,,211,tkpzs,0,1,1,1
