trial.date,Treatment,left.odor,right.odor,odor,enter.left,enter.right,o.right,e.right,e.odor,,,Date,Treatment,Visit Left,Visit Right,Sythesized Right,Visit Synthesized
188,tkControl,3kPZS,3kPZS.t,3kPZS.trmt,1,0,1,0,0,,,188,tkControl,1,0,1,0
188,tkControl,3kPZS,3kPZS.t,3kPZS.trmt,1,0,1,0,0,,,188,tkControl,1,0,1,0
188,tkControl,3kPZS,3kPZS.t,3kPZS.trmt,1,0,1,0,0,,,188,tkControl,1,0,1,0
188,tkControl,3kPZS,3kPZS.t,3kPZS.trmt,1,0,1,0,0,,,188,tkControl,1,0,1,0
188,tkControl,3kPZS,3kPZS.t,3kPZS.trmt,1,0,1,0,0,,,188,tkControl,1,0,1,0
188,tkControl,3kPZS,3kPZS.t,3kPZS.trmt,0,1,1,1,1,,,188,tkControl,0,1,1,1
188,tkControl,3kPZS,3kPZS.t,3kPZS.trmt,0,1,1,1,1,,,188,tkControl,0,1,1,1
188.5,tkControl,3kPZS.t,3kPZS,3kPZS.trmt,1,0,0,0,1,,,188.5,tkControl,1,0,0,1
188.5,tkControl,3kPZS.t,3kPZS,3kPZS.trmt,1,0,0,0,1,,,188.5,tkControl,1,0,0,1
188.5,tkControl,3kPZS.t,3kPZS,3kPZS.trmt,0,1,0,1,0,,,188.5,tkControl,0,1,0,0
188.5,tkControl,3kPZS.t,3kPZS,3kPZS.trmt,0,1,0,1,0,,,188.5,tkControl,0,1,0,0
188.5,tkControl,3kPZS.t,3kPZS,3kPZS.trmt,0,1,0,1,0,,,188.5,tkControl,0,1,0,0
188.5,tkControl,3kPZS.t,3kPZS,3kPZS.trmt,0,1,0,1,0,,,188.5,tkControl,0,1,0,0
188.5,tkControl,3kPZS.t,3kPZS,3kPZS.trmt,0,1,0,1,0,,,188.5,tkControl,0,1,0,0
188.5,tkControl,3kPZS.t,3kPZS,3kPZS.trmt,0,1,0,1,0,,,188.5,tkControl,0,1,0,0
192,tkControl,3kPZS,3kPZS.t,3kPZS.trmt,0,1,1,1,1,,,192,tkControl,0,1,1,1
192,tkControl,3kPZS,3kPZS.t,3kPZS.trmt,0,1,1,1,1,,,192,tkControl,0,1,1,1
192,tkControl,3kPZS,3kPZS.t,3kPZS.trmt,0,1,1,1,1,,,192,tkControl,0,1,1,1
192,tkControl,3kPZS,3kPZS.t,3kPZS.trmt,0,1,1,1,1,,,192,tkControl,0,1,1,1
192.5,tkControl,3kPZS,3kPZS.t,3kPZS.trmt,1,0,1,0,0,,,192.5,tkControl,1,0,1,0
192.5,tkControl,3kPZS,3kPZS.t,3kPZS.trmt,0,1,1,1,1,,,192.5,tkControl,0,1,1,1
192.5,tkControl,3kPZS,3kPZS.t,3kPZS.trmt,0,1,1,1,1,,,192.5,tkControl,0,1,1,1
192.5,tkControl,3kPZS,3kPZS.t,3kPZS.trmt,0,1,1,1,1,,,192.5,tkControl,0,1,1,1
192.5,tkControl,3kPZS,3kPZS.t,3kPZS.trmt,0,1,1,1,1,,,192.5,tkControl,0,1,1,1
192.5,tkControl,3kPZS,3kPZS.t,3kPZS.trmt,0,1,1,1,1,,,192.5,tkControl,0,1,1,1
192.5,tkControl,3kPZS,3kPZS.t,3kPZS.trmt,0,1,1,1,1,,,192.5,tkControl,0,1,1,1
194,tkControl,3kPZS.t,3kPZS,3kPZS.trmt,1,0,0,0,1,,,194,tkControl,1,0,0,1
194,tkControl,3kPZS.t,3kPZS,3kPZS.trmt,1,0,0,0,1,,,194,tkControl,1,0,0,1
194,tkControl,3kPZS.t,3kPZS,3kPZS.trmt,1,0,0,0,1,,,194,tkControl,1,0,0,1
194,tkControl,3kPZS.t,3kPZS,3kPZS.trmt,1,0,0,0,1,,,194,tkControl,1,0,0,1
194,tkControl,3kPZS.t,3kPZS,3kPZS.trmt,0,1,0,1,0,,,194,tkControl,0,1,0,0
194,tkControl,3kPZS.t,3kPZS,3kPZS.trmt,0,1,0,1,0,,,194,tkControl,0,1,0,0
194,tkControl,3kPZS.t,3kPZS,3kPZS.trmt,0,1,0,1,0,,,194,tkControl,0,1,0,0
194,tkControl,3kPZS.t,3kPZS,3kPZS.trmt,0,1,0,1,0,,,194,tkControl,0,1,0,0
194,tkControl,3kPZS.t,3kPZS,3kPZS.trmt,0,1,0,1,0,,,194,tkControl,0,1,0,0
194,tkControl,3kPZS.t,3kPZS,3kPZS.trmt,0,1,0,1,0,,,194,tkControl,0,1,0,0
194,tkControl,3kPZS.t,3kPZS,3kPZS.trmt,0,1,0,1,0,,,194,tkControl,0,1,0,0
194.5,tkControl,3kPZS.t,3kPZS,3kPZS.trmt,1,0,0,0,1,,,194.5,tkControl,1,0,0,1
194.5,tkControl,3kPZS.t,3kPZS,3kPZS.trmt,1,0,0,0,1,,,194.5,tkControl,1,0,0,1
194.5,tkControl,3kPZS.t,3kPZS,3kPZS.trmt,1,0,0,0,1,,,194.5,tkControl,1,0,0,1
194.5,tkControl,3kPZS.t,3kPZS,3kPZS.trmt,1,0,0,0,1,,,194.5,tkControl,1,0,0,1
194.5,tkControl,3kPZS.t,3kPZS,3kPZS.trmt,0,1,0,1,0,,,194.5,tkControl,0,1,0,0
197,tkControl,3kPZS,3kPZS.t,3kPZS.trmt,1,0,1,0,0,,,197,tkControl,1,0,1,0
197,tkControl,3kPZS,3kPZS.t,3kPZS.trmt,0,1,1,1,1,,,197,tkControl,0,1,1,1
197,tkControl,3kPZS,3kPZS.t,3kPZS.trmt,0,1,1,1,1,,,197,tkControl,0,1,1,1
197.5,tkControl,3kPZS.t,3kPZS,3kPZS.trmt,1,0,0,0,1,,,197.5,tkControl,1,0,0,1
