trial.date,Treatment,left.odor,right.odor,odor,enter.left,enter.right,o.right,e.right,e.odor,,,Date,Treatment,Visit Left,Visit Right,Sythesized Right,Visit Synthesized
183,tkControl,3kPZS,3kPZS.t,3kPZS.trmt,1,0,0,0,1,,,183,tkControl,1,0,0,1
183,tkControl,3kPZS,3kPZS.t,3kPZS.trmt,0,1,0,1,0,,,183,tkControl,0,1,0,0
183,tkControl,3kPZS,3kPZS.t,3kPZS.trmt,0,1,0,1,0,,,183,tkControl,0,1,0,0
183,tkControl,3kPZS,3kPZS.t,3kPZS.trmt,0,1,0,1,0,,,183,tkControl,0,1,0,0
183.5,tkControl,3kPZS.t,3kPZS,3kPZS.trmt,1,0,1,0,0,,,183.5,tkControl,1,0,1,0
183.5,tkControl,3kPZS.t,3kPZS,3kPZS.trmt,1,0,1,0,0,,,183.5,tkControl,1,0,1,0
183.5,tkControl,3kPZS.t,3kPZS,3kPZS.trmt,0,1,1,1,1,,,183.5,tkControl,0,1,1,1
189,tkControl,3kPZS,3kPZS.t,3kPZS.trmt,1,0,0,0,1,,,189,tkControl,1,0,0,1
189,tkControl,3kPZS,3kPZS.t,3kPZS.trmt,1,0,0,0,1,,,189,tkControl,1,0,0,1
189,tkControl,3kPZS,3kPZS.t,3kPZS.trmt,1,0,0,0,1,,,189,tkControl,1,0,0,1
189,tkControl,3kPZS,3kPZS.t,3kPZS.trmt,1,0,0,0,1,,,189,tkControl,1,0,0,1
189,tkControl,3kPZS,3kPZS.t,3kPZS.trmt,1,0,0,0,1,,,189,tkControl,1,0,0,1
189.5,tkControl,3kPZS.t,3kPZS,3kPZS.trmt,0,1,1,1,1,,,189.5,tkControl,0,1,1,1
189.5,tkControl,3kPZS.t,3kPZS,3kPZS.trmt,0,1,1,1,1,,,189.5,tkControl,0,1,1,1
193,tkControl,3kPZS,3kPZS.t,3kPZS.trmt,1,0,0,0,1,,,193,tkControl,1,0,0,1
193,tkControl,3kPZS,3kPZS.t,3kPZS.trmt,1,0,0,0,1,,,193,tkControl,1,0,0,1
193,tkControl,3kPZS,3kPZS.t,3kPZS.trmt,1,0,0,0,1,,,193,tkControl,1,0,0,1
193,tkControl,3kPZS,3kPZS.t,3kPZS.trmt,1,0,0,0,1,,,193,tkControl,1,0,0,1
193,tkControl,3kPZS,3kPZS.t,3kPZS.trmt,0,1,0,1,0,,,193,tkControl,0,1,0,0
193.5,tkControl,3kPZS.t,3kPZS,3kPZS.trmt,1,0,1,0,0,,,193.5,tkControl,1,0,1,0
193.5,tkControl,3kPZS.t,3kPZS,3kPZS.trmt,1,0,1,0,0,,,193.5,tkControl,1,0,1,0
193.5,tkControl,3kPZS.t,3kPZS,3kPZS.trmt,1,0,1,0,0,,,193.5,tkControl,1,0,1,0
193.5,tkControl,3kPZS.t,3kPZS,3kPZS.trmt,1,0,1,0,0,,,193.5,tkControl,1,0,1,0
193.5,tkControl,3kPZS.t,3kPZS,3kPZS.trmt,0,1,1,1,1,,,193.5,tkControl,0,1,1,1
193.5,tkControl,3kPZS.t,3kPZS,3kPZS.trmt,0,1,1,1,1,,,193.5,tkControl,0,1,1,1
201,tkControl,3kPZS,3kPZS.t,3kPZS.trmt,1,0,0,0,1,,,201,tkControl,1,0,0,1
201,tkControl,3kPZS,3kPZS.t,3kPZS.trmt,1,0,0,0,1,,,201,tkControl,1,0,0,1
206,tkControl,3kPZS,3kPZS.t,3kPZS.trmt,0,1,0,1,0,,,206,tkControl,0,1,0,0
206,tkControl,3kPZS,3kPZS.t,3kPZS.trmt,0,1,0,1,0,,,206,tkControl,0,1,0,0
