trial.date.exp,fish.ID.exp,Odorant.A.exp,Odorant.B.exp,,,trial.date.control,fish.ID.control,Odorant.A.control,Odorant.B.control
7-Jul-16,WW,0,56,,,6-Jul-16,WW,0,131
7-Jul-16,GR,0,13,,,6-Jul-16,YY,0,47
7-Jul-16,YY,0,4,,,6-Jul-16,RB,0,12
7-Jul-16,YG,0,5,,,6-Jul-16,GW,17,0
9-Jul-16,GY,7,0,,,6-Jul-16,BW,63,0
9-Jul-16,GG,0,3,,,6-Jul-16,BY,111,0
9-Jul-16,WY,0,144,,,6-Jul-16,BB,0,38
9-Jul-16,RY,0,241,,,6-Jul-16,RY,0,1
9-Jul-16,BR,53,116,,,6-Jul-16,RG,0,35
9-Jul-16,WR,0,81,,,6-Jul-16,BR,0,1
9-Jul-16,R_,0,25,,,10-Jul-16,WR,4,0
9-Jul-16,BY,0,76,,,10-Jul-16,WG,70,0
11-Jul-16,GY,4,0,,,10-Jul-16,BB,4,0
11-Jul-16,RW,17,88,,,10-Jul-16,GR,74,0
11-Jul-16,WW,0,19,,,10-Jul-16,RW,247,53
11-Jul-16,GR,0,169,,,10-Jul-16,RG,107,17
11-Jul-16,RG,0,140,,,10-Jul-16,GW,8,0
11-Jul-16,RR,31,101,,,10-Jul-16,RR,56,0
11-Jul-16,BB,0,49,,,12-Jul-16,RR,2,0
11-Jul-16,BY,0,11,,,12-Jul-16,YR,19,0
11-Jul-16,YW,0,55,,,12-Jul-16,RB,180,4
11-Jul-16,WY,12,0,,,12-Jul-16,WY,33,0
11-Jul-16,YB,393,146,,,12-Jul-16,WW,0,52
13-Jul-16,GB,4,0,,,12-Jul-16,BB,66,297
13-Jul-16,RR,28,0,,,12-Jul-16,RW,0,18
13-Jul-16,BW,0,14,,,12-Jul-16,YG,0,10
13-Jul-16,BY,0,98,,,12-Jul-16,BW,0,87
13-Jul-16,WW,0,74,,,12-Jul-16,YY,0,6
13-Jul-16,RB,0,168,,,12-Jul-16,RR,6,0
13-Jul-16,WB,19,300,,,12-Jul-16,YY,0,21
13-Jul-16,BB,0,123,,,12-Jul-16,RY,3,0
13-Jul-16,YW,133,216,,,12-Jul-16,_B,2,0
13-Jul-16,WG,97,0,,,15-Jul-16,WB,129,35
13-Jul-16,YG,4,0,,,15-Jul-16,BW,161,83
14-Jul-16,GB,0,6,,,15-Jul-16,WW,196,2
14-Jul-16,BG,0,10,,,15-Jul-16,BR,14,0
14-Jul-16,BW,0,27,,,15-Jul-16,YY,51,1
14-Jul-16,GG,0,52,,,15-Jul-16,RW,0,100
14-Jul-16,YY,0,102,,,15-Jul-16,RB,0,148
14-Jul-16,GW,4,0,,,15-Jul-16,RG,555,0
14-Jul-16,RB,0,66,,,15-Jul-16,_B,0,340
14-Jul-16,RW,0,9,,,15-Jul-16,GB,0,160
14-Jul-16,WG,3,1,,,,,,
14-Jul-16,YW,19,60,,,,,,
14-Jul-16,WB,0,31,,,,,,
16-Jul-16,GR,4,0,,,,,,
16-Jul-16,GY,109,0,,,,,,
16-Jul-16,GB,0,116,,,,,,
16-Jul-16,WW,0,145,,,,,,
16-Jul-16,WR,0,3,,,,,,
16-Jul-16,WY,0,605,,,,,,
16-Jul-16,BR,11,0,,,,,,
16-Jul-16,BW,21,0,,,,,,
17-Jul-16,YR,16,1880,,,,,,
17-Jul-16,YG,0,8,,,,,,
17-Jul-16,BY,0,1461,,,,,,
17-Jul-16,GR,13,56,,,,,,
17-Jul-16,YY,14,0,,,,,,
17-Jul-16,YY,15,0,,,,,,
17-Jul-16,GW,36,27,,,,,,
17-Jul-16,WY,3,0,,,,,,
17-Jul-16,RG,0,10,,,,,,
17-Jul-16,WW,0,205,,,,,,
17-Jul-16,RW,0,105,,,,,,
17-Jul-16,WB,58,7,,,,,,
