Date,Treatment,us
188,tkControl,1
188,tkControl,1
188,tkControl,1
188,tkControl,1
188,tkControl,1
188,tkControl,1
188,tkControl,1
188,tkControl,0
188,tkControl,0
188.5,tkControl,1
188.5,tkControl,1
188.5,tkControl,1
188.5,tkControl,1
188.5,tkControl,1
188.5,tkControl,1
188.5,tkControl,1
188.5,tkControl,1
188.5,tkControl,1
188.5,tkControl,1
192,tkControl,1
192,tkControl,1
192,tkControl,1
192,tkControl,1
192,tkControl,1
192,tkControl,0
192,tkControl,0
192,tkControl,0
192.5,tkControl,1
192.5,tkControl,1
192.5,tkControl,1
192.5,tkControl,1
192.5,tkControl,1
192.5,tkControl,1
192.5,tkControl,1
192.5,tkControl,1
192.5,tkControl,0
194,tkControl,1
194,tkControl,1
194,tkControl,1
194,tkControl,1
194,tkControl,1
194,tkControl,1
194,tkControl,1
194,tkControl,1
194,tkControl,1
194,tkControl,1
194.5,tkControl,1
194.5,tkControl,1
194.5,tkControl,1
194.5,tkControl,1
194.5,tkControl,1
194.5,tkControl,1
197,tkControl,1
197,tkControl,1
197,tkControl,1
197,tkControl,1
197,tkControl,1
197,tkControl,1
197,tkControl,1
197,tkControl,0
197,tkControl,0
197,tkControl,0
197,tkControl,0
197,tkControl,0
197.5,tkControl,1
197.5,tkControl,1
197.5,tkControl,1
197.5,tkControl,1
197.5,tkControl,1
197.5,tkControl,1
197.5,tkControl,1
197.5,tkControl,1
197.5,tkControl,1
197.5,tkControl,1
197.5,tkControl,1
189,tkpzs,1
189,tkpzs,1
189,tkpzs,1
189,tkpzs,1
189,tkpzs,1
189,tkpzs,1
189,tkpzs,1
189,tkpzs,0
189,tkpzs,0
189,tkpzs,0
189,tkpzs,0
189.5,tkpzs,1
189.5,tkpzs,1
189.5,tkpzs,1
189.5,tkpzs,1
189.5,tkpzs,0
189.5,tkpzs,0
189.5,tkpzs,0
189.5,tkpzs,0
189.5,tkpzs,0
191,tkpzs,1
191,tkpzs,1
191,tkpzs,0
191,tkpzs,0
191,tkpzs,0
191,tkpzs,0
191,tkpzs,0
191,tkpzs,0
191,tkpzs,0
191,tkpzs,0
191,tkpzs,0
191,tkpzs,0
191.5,tkpzs,1
191.5,tkpzs,1
191.5,tkpzs,1
191.5,tkpzs,1
191.5,tkpzs,1
191.5,tkpzs,1
191.5,tkpzs,1
191.5,tkpzs,1
191.5,tkpzs,1
191.5,tkpzs,0
191.5,tkpzs,0
193,tkpzs,1
193,tkpzs,1
193,tkpzs,1
193,tkpzs,1
193,tkpzs,1
193,tkpzs,1
193,tkpzs,1
193,tkpzs,1
193,tkpzs,0
193,tkpzs,0
193.5,tkpzs,1
193.5,tkpzs,1
193.5,tkpzs,1
193.5,tkpzs,1
193.5,tkpzs,1
193.5,tkpzs,1
193.5,tkpzs,1
193.5,tkpzs,1
193.5,tkpzs,1
193.5,tkpzs,1
195,tkpzs,1
195,tkpzs,1
195,tkpzs,1
195,tkpzs,1
195,tkpzs,1
195,tkpzs,1
195,tkpzs,1
195,tkpzs,1
195,tkpzs,1
195,tkpzs,1
195,tkpzs,0
195.5,tkpzs,1
195.5,tkpzs,1
195.5,tkpzs,1
195.5,tkpzs,1
195.5,tkpzs,1
195.5,tkpzs,1
195.5,tkpzs,1
195.5,tkpzs,1
195.5,tkpzs,1
195.5,tkpzs,0
195.5,tkpzs,0
195.5,tkpzs,0
196,tkpzs,1
196,tkpzs,1
196,tkpzs,1
196,tkpzs,1
196,tkpzs,1
196,tkpzs,1
196,tkpzs,1
196,tkpzs,1
196,tkpzs,1
196,tkpzs,0
196,tkpzs,0
196.5,tkpzs,1
196.5,tkpzs,1
196.5,tkpzs,1
196.5,tkpzs,1
196.5,tkpzs,1
196.5,tkpzs,1
196.5,tkpzs,1
196.5,tkpzs,1
196.5,tkpzs,1
196.5,tkpzs,1
196.5,tkpzs,1
198,tkpzs,1
198,tkpzs,1
198,tkpzs,1
198,tkpzs,1
198,tkpzs,1
198,tkpzs,1
198,tkpzs,0
198,tkpzs,0
198,tkpzs,0
198,tkpzs,0
198,tkpzs,0
198.5,tkpzs,1
198.5,tkpzs,1
198.5,tkpzs,1
198.5,tkpzs,1
198.5,tkpzs,1
198.5,tkpzs,1
198.5,tkpzs,1
198.5,tkpzs,1
198.5,tkpzs,1
198.5,tkpzs,1
198.5,tkpzs,0
199,tkpzs,1
199,tkpzs,1
199,tkpzs,1
199,tkpzs,1
199,tkpzs,1
199,tkpzs,1
199,tkpzs,0
199,tkpzs,0
199,tkpzs,0
199,tkpzs,0
199,tkpzs,0
199,tkpzs,0
199.5,tkpzs,1
199.5,tkpzs,1
199.5,tkpzs,1
199.5,tkpzs,1
199.5,tkpzs,1
199.5,tkpzs,1
199.5,tkpzs,1
199.5,tkpzs,1
199.5,tkpzs,1
199.5,tkpzs,1
199.5,tkpzs,0
